    Shade House No.1                                                                                                                                                                            Shade House N                                                                                                                                   
       Right Side                                                                                                                                                                                 Left Side                                                                                                                                     
 1  Pulicaria undulaPulicaria unduPulicaria unduPulicaria unduPulicaria unduPulicaria undPulicaria undulPulicaria undPulicaria undPulicaria undPulicaria unduPulicaria und                      Ruellia BritoRuellia peninRuellia penin             Ruellia BritoRuellia deserRuellia peninRuellia peninRuellia peninAllamanda cathMentha spicatMentha longif
          700            700           700           700           700           700           700           700          700          700          700           700     =SUM(B4:M4)=SUM(P4:AA4    1,000        1,600        1,250                      500          600         1,000        1,000        1,700         100           300          200     
 2  Ruellia peninsulRuellia peninsRuellia peninsRuellia peninsAtriplex canesAtriplex caneAtriplex canescRuellia peninTrigonella stTrigonella stTrigonella steLasiurus hirs                      Lasiurus hirsAtriplex caneTeucrium poliAerva javanicAmbrosia dumoTeucrium poliAerva javanicTeucrium poliAerva javanicTeucrium poliuTeucrium poliTeucrium poli
          800            900           900           900           280           280           280           900          500          700          900          1,000    =SUM(B6:M6)=SUM(P6:AA6    1,000         300          400          400          250          100          300          400          350          350           350          350     
 3  Aerva javanica  Teucrium poliuRuellia peninsRuellia peninsRuellia penins             Aerva javanica Aerva javanicTeucrium poliTeucrium poliBuchloe dactylAerva javanic                      Aerva javanicTeucrium poliAerva javanicAtriplex caneAtriplex caneAtriplex caneTeucrium poliAerva javanicTeucrium poli              Euphorbia bigEuphorbia myr
          400            400          1,300         1,300         1,300                        400           400          350          350         2,000         1,400    =SUM(B8:M8)=SUM(P8:AA8     300          400          400          400          400          400          400          400          500                        100          50      
 4  Teucrium polium Aerva javanicaOchradenus bacBaileya multirBaileya multirBaileya multiBaileya multiraCampsis radicMacfadyena unPedilanthus mPedilanthus maAerva javanic                                   Hemerocallis Hemerocallis              Aerva javanicAtriplex caneAerva javanic Leptadinia  Limonium axilLimonium axillLimonium axilLimonium axil
          800            400           300           300           300           300           120           90           90          1,000         500           400     =SUM(B10:M1=SUM(Q10:AA                  620          620                       350          350          500          500          650          850           850         1,000    
 5  Teucrium polium Aerva javanicaSalvia farinacHelianthemum lIndigofera intTeucrium poliedraianthus GraPenstemon eatThymus vulgarJusticia caliEchinacea purpEuphorbia big                      Justicia cali                                                                 Santolina chaSantolina chaSantolina chaBuchloe dactylBuchloe dactyBuchloe dacty
          350           1,200          170            90           160           750           300           12           400          900          400           760     =SUM(B12:M1=SUM(P12:AA     560                                                                           600          600          600         1,000         1,000        1,000    
 6                  Stipagrostis pTeucrium poliuAtriplex canesRuellia peninsAtriplex caneZoysia tenuifolZoysia tenuifPedilanthus mZoysia tenuifZoysia tenuifoAtriplex cane                      Justicia caliAeluropus lagPennisetum ruAtriplex caneSalvia farinaAerva javanicAtriplex caneRuellia peninArtemisia draArtemisia absiStipagrostis Aerva javanic
                         600           500           800          1,700          700          1,600         1,800        5,000        1,600        1,800          700     =SUM(B14:M1=SUM(P14:AA     540          800         1,800         500          250          800          200         1,200         500           60          1,000         800     
 7  Teucrium polium               Ambrosia deltoAtriplex canesAtriplex canesAtriplex caneAtriplex canescIndigofera in                                        Atriplex cane                      Justicia cali             Tavernica spaZilla spinosaAcacia salignLimonium axilAtriplex caneAerva javanicDalea frutesc                           Pulicaria und
          900                          350           400           400           400           400           250                                                  201     =SUM(B16:M1=SUM(P16:AA     150                       30           20           100          70           200          160         1,200                                    400     
                                                                                                                                                                          =SUM(N4:N16=SUM(O4:O16                                                                                                                                                
    Shade House No.2                                                                                                                                                                            Shade House N                                                                                                                                   
       Right Side                                                                                                                                                                                 Left Side                                                                                                                                     
 1  Sporobolus arabiLeucophyllum fLasiurus hirsuBuchloe dactylLasiurus hirsuBuchloe dactyLasiurus hirsut             Lasiurus hirsLasiurus hirsZoysia tenuifoTeucrium poli                                   Pennisetum seAerva javanicCapparis spinLeucophyllum Capparis spinChrysopogon aCyprus congloSalvia aegyptChloris virgat             
          500            500                 500           500         1,000        1,000          1,500                     2,000        2,000    1,800         1,000    =SUM(B21:M2=SUM(P21:AA                 1,500         500         1,000        1,600        1,500         700          150          800          400                   
 2  Capparis spinosaLasiurus hirsuArtemisia dracHeliotropium cHeliotropium c             Heliotropium cuCapparis spinCapparis spinChloris virgaCapparis spinoTeucrium poli                      Teucrium poliBuchloe dactyArtemisia draSalvia aegyptSalvia aegyptSalvia aegyptSalvia aegyptLasiurus hirsZygophyllum qTeucrium poliuTribulus terrTribulus terr
          300                1,000    1,000         1,000          600                                      1,000        1,000        1,000         800           800     =SUM(B23:M2=SUM(P23:AA     700          800          500          800          600          800          800               500    1,500         700           800          900     
 3  Pennisetum setacChrysopogon auMuhlenbergia cLasiurus hirsuMuhlenbergia rCapparis spinLasiurus hirsutLasiurus hirsLasiurus hirsOchradenus baZoysia tenuifoTeucrium poli                      Teucrium poliBuchloe dactyZoysia tenuifSalvia aegyptCapparis spinCapparis spinZoysia tenuifZoysia tenuifLasiurus hirsLasiurus hirsuLasiurus hirsLasiurus hirs
          500            500          2,000          300          1,000         1,000         1,000         1,000        1,000        1,000        1,300         1,000    =SUM(B25:M2=SUM(P25:AA     800         1,000        1,000         400         1,000        1,000        1,200        1,000              900           900          900        1,800
 4  Capparis spinosaChrysopogon auAerva javanicaLasiurus hirsuCapparis spinoSilene villosHammada elegansMuhlenbergia Blepharis cilLasiurus hirsCapparis spinoIndigofera in                      Justicia caliBuchloe dactyLeucophyllum Wedelia triloZoysia tenuif             Capparis spinZoysia tenuifZoysia tenuifZoysia tenuifoZoysia tenuif
          700           1,000          800           800           500           150           50           1,500         60              1,000    1,600          500     =SUM(B27:M2=SUM(P27:AA                  200          200          350         1,000                     1,000         800          800          800           800     
 5  Pennisetum setac                            Zizyphus spina              Leucophyllum Muhlenbergia ri                          Capparis spinLeucophyllum fIndigofera in                      Aerva javanicLeucophyllum Teucrium poliTeucrium poliCapparis spinCapparis spinCapparis spinLeucophyllum Capparis spinLeucophyllum fStipagrostis 
          300                                        300                         200           400                                    1,000         600           500     =SUM(B29:M2=SUM(P29:AA     500          400          600          600          600          600          400          400          500          300           200     
 6  Capparis spinosaLasiurus hirsuArtemisia dracBuchloe dactylLasiurus hirsuLasiurus hirsBuchloe dactyloBuchloe dactyBuchloe dactyBuchloe dactyCymbopogon com                                   Leucophyllum Cymbopogon coLasiurus hirsLasiurus hirsCymbopogon coLasiurus hirsLasiurus hirsLasiurus hirsLasiurus hirsLasiurus hirsuCymbopogon co
          400            400           500           400           400           400           500           500          500          500          400                   =SUM(B31:M3=SUM(P31:AA     400          400          400          400          400          400          400          400          400          400           400     
 7                                                                                                                                                                                                                                                                                                                                              
